variable,label,dtype,measure,value_labels,missing
The Life of David Gale (2003),,object,,,""""""
Wing Commander (1999),,object,,,""""""
Django Unchained (2012),,object,,,""""""
Alien (1979),,object,,,""""""
Indiana Jones and the Last Crusade (1989),,object,,,""""""
Snatch (2000),,object,,,""""""
Rambo: First Blood Part II (1985),,object,,,""""""
Fargo (1996),,object,,,""""""
Let the Right One In (2008),,object,,,""""""
Black Swan (2010),,object,,,""""""
King Kong (1976),,object,,,""""""
The Machinist (2004),,object,,,""""""
A Nightmare on Elm Street (1984),,object,,,""""""
Brazil (1985),,object,,,""""""
The Fast and the Furious (2001),,object,,,""""""
Change of Habit (1969),,object,,,""""""
American Beauty (1999),,object,,,""""""
Psycho (1960),,object,,,""""""
Terminator 3: Rise of the Machines (2003),,object,,,""""""
Night of the Living Dead (1968),,object,,,""""""
Man on Fire (2004),,object,,,""""""
Star Wars: Episode IV - A New Hope (1977),,object,,,""""""
The Silence of the Lambs (1991),,object,,,""""""
The Others (2001),,object,,,""""""
Minority Report (2002),,object,,,""""""
Sling Blade (1996),,object,,,""""""
Schindler's List (1993),,object,,,""""""
3000 Miles to Graceland (2001),,object,,,""""""
Magnolia (1999),,object,,,""""""
The Karate Kid Part II (1986),,object,,,""""""
Planet of the Apes (2001),,object,,,""""""
The Godfather: Part II (1974),,object,,,""""""
Indiana Jones and the Temple of Doom (1984),,object,,,""""""
Indiana Jones and the Raiders of the Lost Ark (1981),,object,,,""""""
The Iron Giant (1999),,object,,,""""""
The Matrix Revolutions (2003),,object,,,""""""
North (1994),,object,,,""""""
The Lost World: Jurassic Park (1997),,object,,,""""""
The Texas Chainsaw Massacre (1974),,object,,,""""""
Taxi Driver (1976),,object,,,""""""
Back to the Future (1985),,object,,,""""""
13 Going on 30 (2004),,object,,,""""""
Sorority Boys (2002),,object,,,""""""
The Bridges of Madison County (1995),,object,,,""""""
Billy Madison (1995),,object,,,""""""
Chain Reaction (1996),,object,,,""""""
Batman & Robin (1997),,object,,,""""""
Jurassic Park III (2001),,object,,,""""""
Platoon (1986),,object,,,""""""
Signs (2002),,object,,,""""""
Terms of Endearment (1983),,object,,,""""""
Mission: Impossible II (2000),,object,,,""""""
Lost in Translation (2003),,object,,,""""""
Star Trek: The Motion Picture (1979),,object,,,""""""
Inglorious Bastards (2009),,object,,,""""""
Clueless (1995),,object,,,""""""
The Omen (1976),,object,,,""""""
Shrek 2 (2004),,object,,,""""""
Good Will Hunting (1997),,object,,,""""""
Just Like Heaven (2005),,object,,,""""""
Showgirls (1995),,object,,,""""""
Diamonds are Forever (1971),,object,,,""""""
Crossroads (2002),,object,,,""""""
Pieces of April (2003),,object,,,""""""
Torque (2004),,object,,,""""""
Poltergeist (1982),,object,,,""""""
Fear and Loathing in Las Vegas (1998),,object,,,""""""
Barbarella (1968),,object,,,""""""
The King of Marvin Gardens (1972),,object,,,""""""
The Poseidon Adventure (1972),,object,,,""""""
The Rock (1996),,object,,,""""""
Love Story (1970),,object,,,""""""
The Last Samurai (2003),,object,,,""""""
The Jungle Book (1967),,object,,,""""""
The Exorcist (1973),,object,,,""""""
Pirates of the Caribbean: Dead Man's Chest (2006),,object,,,""""""
Gone in Sixty Seconds (2000),,object,,,""""""
Funny Girl (1968),,object,,,""""""
Honey (2003),,object,,,""""""
Blues Brothers 2000 (1998),,object,,,""""""
Avatar (2009),,object,,,""""""
The Pianist (2002),,object,,,""""""
Godzilla (1998),,object,,,""""""
Fight Club (1999),,object,,,""""""
The Conjuring (2013),,object,,,""""""
Top Gun (1986),,object,,,""""""
Slackers (2002),,object,,,""""""
Shrek (2001),,object,,,""""""
12 Monkeys (1995),,object,,,""""""
From Hell (2001),,object,,,""""""
Dead Poets Society (1989),,object,,,""""""
Once Upon a Time in America (1984),,object,,,""""""
Equilibrium (2002),,object,,,""""""
Star Wars: Episode II - Attack of the Clones (2002),,object,,,""""""
The Thing (1982),,object,,,""""""
Interstellar (2014),,object,,,""""""
Full Metal Jacket (1987),,object,,,""""""
Big Fish (2003),,object,,,""""""
Cool Hand Luke (1967),,object,,,""""""
A Beautiful Mind (2001),,object,,,""""""
Sholay (1978),,object,,,""""""
The 51st State (2001),,object,,,""""""
Die Hard With a Vengeance (1995),,object,,,""""""
Elf (2003),,object,,,""""""
The Blue Lagoon (1980),,object,,,""""""
Hellraiser (1987),,object,,,""""""
Moonraker (1979),,object,,,""""""
Leon (1994),,object,,,""""""
Mystic River (2003),,object,,,""""""
Sexy Beast (2000),,object,,,""""""
Beetle Juice (1988),,object,,,""""""
Andaz Apna Apna (1994),,object,,,""""""
The Proposal (2009),,object,,,""""""
The Shining (1980),,object,,,""""""
The Land That Time Forgot (1974),,object,,,""""""
The Perfect Storm (2000),,object,,,""""""
Escape from LA (1996),,object,,,""""""
Shutter Island (2010),,object,,,""""""
JFK (1991),,object,,,""""""
Barb Wire (1996),,object,,,""""""
Oldboy (2003),,object,,,""""""
Carrie (1976),,object,,,""""""
The Good the Bad and the Ugly (1966),,object,,,""""""
Speed 2: Cruise Control (1997),,object,,,""""""
The Lord of the Rings: The Fellowship of the Ring (2001),,object,,,""""""
The Talented Mr. Ripley (1999),,object,,,""""""
Casino (1995),,object,,,""""""
A Time to Kill (1996),,object,,,""""""
Blazing Saddles (1974),,object,,,""""""
The Doom Generation (1995),,object,,,""""""
Armageddon (1998),,object,,,""""""
X-Men (2000),,object,,,""""""
Arachnophobia (1990),,object,,,""""""
Stir Crazy (1980),,object,,,""""""
Billy Jack (1971),,object,,,""""""
The Silencers (1966),,object,,,""""""
The Three Musketeers (1993),,object,,,""""""
Girl Interrupted (1999),,object,,,""""""
Finding Nemo (2003),,object,,,""""""
Tropic of Cancer (1970),,object,,,""""""
The Sixth Sense (1999),,object,,,""""""
I Know What You Did Last Summer (1997),,object,,,""""""
Indiana Jones and the Kingdom of the Crystal Skull (2008),,object,,,""""""
Divine Secrets of the Ya-Ya Sisterhood (2002),,object,,,""""""
Ace Ventura: When Nature Calls (1995),,object,,,""""""
Dances with Wolves (1990),,object,,,""""""
Date and Switch (2014),,object,,,""""""
The Intouchables (2011),,object,,,""""""
Mrs. Doubtfire (1993),,object,,,""""""
Ghostbusters (2016),,object,,,""""""
Almost Famous (2000),,object,,,""""""
Blade Runner (1982),,object,,,""""""
Unforgiven (1992),,object,,,""""""
