movie,n_above,n_below,statistic,p_value,significant
The Life of David Gale (2003),41,33,0.19216555801921653,0.43779147162321996,False
Wing Commander (1999),40,25,0.215,0.41460480905782665,False
Django Unchained (2012),253,176,0.10128458498023718,0.2189717916741367,False
Alien (1979),162,116,0.052788420604512554,0.9846537232343412,False
Indiana Jones and the Last Crusade (1989),254,185,0.034539263673121934,0.9988872026580393,False
Snatch (2000),73,49,0.05591277606933184,0.9998667297193713,False
Rambo: First Blood Part II (1985),107,66,0.0853865760407817,0.8947127501323392,False
Fargo (1996),144,96,0.020833333333333332,1.0,False
Let the Right One In (2008),75,52,0.10000000000000009,0.8790254797881866,False
Black Swan (2010),325,234,0.127863247863248,0.020977007480705755,False
King Kong (1976),230,157,0.11309886458044865,0.16682621856455604,False
The Machinist (2004),77,59,0.0792427911071979,0.9689663454608547,False
A Nightmare on Elm Street (1984),242,137,0.12957712493213489,0.09480269899117927,False
Brazil (1985),49,35,0.0653061224489796,0.9999281395646084,False
The Fast and the Furious (2001),327,214,0.11825145045585755,0.04845377505753414,False
Change of Habit (1969),43,29,0.1876503608660786,0.5080478055314592,False
American Beauty (1999),210,156,0.03644688644688643,0.999333933451564,False
Psycho (1960),209,129,0.038982233596676685,0.999175833434123,False
Terminator 3: Rise of the Machines (2003),202,150,0.04693069306930692,0.9851645629147481,False
Night of the Living Dead (1968),106,71,0.05939410045176724,0.9949722847705693,False
Man on Fire (2004),75,57,0.1768421052631578,0.2283716104326112,False
Star Wars: Episode IV - A New Hope (1977),277,237,0.02635226736126979,0.9999657703544137,False
The Silence of the Lambs (1991),298,186,0.10832070433715812,0.12423283515777654,False
The Others (2001),86,55,0.1209302325581395,0.6542971842434193,False
Minority Report (2002),107,91,0.1104036150765123,0.5372621676260251,False
Sling Blade (1996),51,30,0.10980392156862745,0.9525214116195218,False
Schindler's List (1993),238,205,0.07802828448452553,0.48180942787216047,False
3000 Miles to Graceland (2001),45,28,0.3095238095238094,0.05666221953018818,False
Magnolia (1999),80,51,0.11715686274509818,0.729336938185902,False
The Karate Kid Part II (1986),197,143,0.11376947925171277,0.21235513609193513,False
Planet of the Apes (2001),266,187,0.15204454987736715,0.010863924416651367,False
The Godfather: Part II (1974),194,127,0.07695429823849342,0.7155793981960122,False
Indiana Jones and the Temple of Doom (1984),250,209,0.06089952153110045,0.7615325200675113,False
Indiana Jones and the Raiders of the Lost Ark (1981),190,137,0.036611601997694976,0.9997189249244561,False
The Iron Giant (1999),183,152,0.06471095772217428,0.8477976546116451,False
The Matrix Revolutions (2003),199,160,0.1236180904522613,0.11941293955459271,False
North (1994),39,32,0.11778846153846151,0.9336798520259252,False
The Lost World: Jurassic Park (1997),300,239,0.038591352859135175,0.9829248000332734,False
The Texas Chainsaw Massacre (1974),204,98,0.19317727090836329,0.011972321819557749,False
Taxi Driver (1976),137,88,0.04412740544127408,0.9997096056890221,False
Back to the Future (1985),337,282,0.028337226676768412,0.999249420801841,False
13 Going on 30 (2004),354,272,0.03337902957793287,0.9925325286546222,False
Sorority Boys (2002),42,31,0.14900153609831024,0.7520244177159984,False
The Bridges of Madison County (1995),49,39,0.09523809523809523,0.9730772375404677,False
Billy Madison (1995),155,108,0.08267622461170843,0.73606665760666,False
Chain Reaction (1996),40,37,0.1358108108108108,0.8122051907751217,False
Batman & Robin (1997),181,141,0.12428980055640454,0.1551004096701245,False
Jurassic Park III (2001),286,219,0.09499632787304019,0.19641867591982545,False
Platoon (1986),72,39,0.1388888888888889,0.6522079361738974,False
Signs (2002),104,76,0.14271255060728738,0.2973417930431886,False
Terms of Endearment (1983),67,47,0.1330581136868847,0.6501809907288898,False
Mission: Impossible II (2000),252,202,0.08969825553983968,0.30388207789670746,False
Lost in Translation (2003),135,113,0.06489675516224191,0.9369051227119782,False
Star Trek: The Motion Picture (1979),149,103,0.025477291978888372,0.9999999998287373,False
Inglorious Bastards (2009),254,162,0.1478565179352581,0.023211604757760143,False
Clueless (1995),353,260,0.011146219219873611,1.0,False
The Omen (1976),115,64,0.17866847826086957,0.12348008490164328,False
Shrek 2 (2004),493,422,0.02424463820501234,0.9987361786661888,False
Good Will Hunting (1997),266,220,0.023855092276144907,0.9999986831361627,False
Just Like Heaven (2005),83,63,0.12449799196787137,0.5808576956013944,False
