movie,n_female,n_male,statistic,p_value,significant
The Life of David Gale (2003),47,25,0.16680851063829782,0.6793142726965843,False
Wing Commander (1999),42,27,0.2671957671957672,0.1563345587319751,False
Django Unchained (2012),269,167,0.16735302628942855,0.005342766733585711,False
Alien (1979),164,115,0.2722163308589608,6.496200090454232e-05,True
Indiana Jones and the Last Crusade (1989),295,150,0.10429378531073444,0.21043940159157198,False
Snatch (2000),67,54,0.1448313985627419,0.4980563599935412,False
Rambo: First Blood Part II (1985),98,76,0.21723952738990326,0.028985854391960494,False
Fargo (1996),149,94,0.17456804226759964,0.051281176188152,False
Let the Right One In (2008),87,39,0.10963748894783376,0.8606724326396866,False
Black Swan (2010),460,109,0.08954926206621461,0.44920066316495916,False
King Kong (1976),288,106,0.03957023060796644,0.9991985810023183,False
The Machinist (2004),79,60,0.20295358649789036,0.10130349099232865,False
A Nightmare on Elm Street (1984),276,107,0.1280644724366789,0.14366532293234682,False
Brazil (1985),48,39,0.1810897435897435,0.4201379847687748,False
The Fast and the Furious (2001),388,169,0.07149393033611906,0.5538229322402106,False
Change of Habit (1969),44,28,0.11363636363636365,0.9579664134726306,False
American Beauty (1999),269,101,0.07147852331701565,0.8142553202345499,False
Psycho (1960),238,106,0.0404312668463612,0.9992393274838207,False
Terminator 3: Rise of the Machines (2003),217,140,0.07050691244239629,0.7579776810363656,False
Night of the Living Dead (1968),112,69,0.11529503105590055,0.5713141408394556,False
Man on Fire (2004),77,54,0.11952861952861948,0.697606247537513,False
Star Wars: Episode IV - A New Hope (1977),343,185,0.13359073359073353,0.024376879440280816,False
The Silence of the Lambs (1991),355,137,0.07451423871697338,0.6092225108634914,False
The Others (2001),99,44,0.1388888888888889,0.5523287448934987,False
Minority Report (2002),111,85,0.06348701642819288,0.9804798387567701,False
Sling Blade (1996),48,33,0.20833333333333337,0.31208597439650265,False
Schindler's List (1993),319,127,0.12440451213190817,0.10844827891687488,False
3000 Miles to Graceland (2001),46,27,0.3035426731078904,0.06758425736781387,False
Magnolia (1999),84,49,0.059523809523809534,0.9994999685108268,False
The Karate Kid Part II (1986),257,93,0.10501652650516718,0.4046967773111796,False
Planet of the Apes (2001),321,143,0.09232512036250351,0.34167574776598925,False
The Godfather: Part II (1974),211,114,0.13677558825974895,0.111721431932347,False
Indiana Jones and the Temple of Doom (1984),302,159,0.07822066724978133,0.5149381523810154,False
Indiana Jones and the Raiders of the Lost Ark (1981),194,135,0.16155021000381825,0.02715483961090345,False
The Iron Giant (1999),203,137,0.05735140771637126,0.9316726961861088,False
The Matrix Revolutions (2003),212,146,0.05905918842078062,0.900260709345631,False
North (1994),45,29,0.09578544061302685,0.9890626068020492,False
The Lost World: Jurassic Park (1997),392,157,0.11900428961393472,0.07634425614562475,False
The Texas Chainsaw Massacre (1974),207,99,0.13043478260869557,0.1847612627580213,False
Taxi Driver (1976),137,91,0.1625090238228924,0.09771865172454092,False
Back to the Future (1985),447,189,0.047619047619047616,0.9060849977206269,False
