movie,n_only,n_siblings,statistic,p_value,significant
The Life of David Gale (2003),17,55,0.10909090909090913,0.99085929549432,False
Wing Commander (1999),15,54,0.15185185185185185,0.9065917605494741,False
Django Unchained (2012),77,361,0.19106378386156786,0.016540101426078205,False
Alien (1979),54,227,0.08941099689998361,0.8403558240063359,False
Indiana Jones and the Last Crusade (1989),76,372,0.06168647425014162,0.9559619773895855,False
Snatch (2000),24,99,0.23232323232323226,0.20947782984947236,False
Rambo: First Blood Part II (1985),35,140,0.15714285714285714,0.46791332460629265,False
Fargo (1996),36,208,0.06517094017094005,0.9981193101998471,False
Let the Right One In (2008),28,101,0.19978783592644966,0.29678867266317527,False
Black Swan (2010),99,472,0.037407978085944094,0.9995466200409672,False
King Kong (1976),72,321,0.06438213914849428,0.9523177071069026,False
The Machinist (2004),31,109,0.18437407517016868,0.33653665967188195,False
A Nightmare on Elm Street (1984),58,330,0.052142110762800425,0.9980880723539798,False
Brazil (1985),11,76,0.31100478468899523,0.2434743014183165,False
The Fast and the Furious (2001),107,453,0.06971178642899878,0.7630563525904871,False
Change of Habit (1969),18,54,0.12962962962962965,0.9694127122878259,False
American Beauty (1999),60,312,0.10128205128205128,0.6412599568022491,False
Psycho (1960),63,285,0.0788638262322473,0.875542125986207,False
Terminator 3: Rise of the Machines (2003),76,280,0.07030075187969922,0.9048753489992264,False
Night of the Living Dead (1968),31,152,0.12860780984719866,0.7316973643759187,False
Man on Fire (2004),19,113,0.33814625058220776,0.037268003198908044,False
Star Wars: Episode IV - A New Hope (1977),84,447,0.11121764141898371,0.3190607091513577,False
The Silence of the Lambs (1991),88,406,0.05536274070756829,0.9690994536541299,False
The Others (2001),25,118,0.16135593220338984,0.5924036399258137,False
Minority Report (2002),44,152,0.18480861244019142,0.16903721691883775,False
Sling Blade (1996),16,66,0.1268939393939394,0.9662891059187104,False
Schindler's List (1993),81,367,0.09839539812291853,0.5053070774834397,False
3000 Miles to Graceland (2001),11,62,0.22434017595307915,0.6493164567183167,False
Magnolia (1999),22,110,0.18181818181818182,0.5426745085680903,False
The Karate Kid Part II (1986),52,300,0.137948717948718,0.3337085900987931,False
Planet of the Apes (2001),82,385,0.12166613873930954,0.2460575878381111,False
The Godfather: Part II (1974),72,253,0.06060606060606055,0.9762852361848459,False
Indiana Jones and the Temple of Doom (1984),80,384,0.04322916666666654,0.9991356033673118,False
Indiana Jones and the Raiders of the Lost Ark (1981),59,273,0.19848513068852053,0.03725324398837213,False
The Iron Giant (1999),42,303,0.1247053276756247,0.5680422920464177,False
The Matrix Revolutions (2003),76,284,0.0450333580429948,0.9991453815056933,False
North (1994),14,60,0.13095238095238093,0.973187750856611,False
The Lost World: Jurassic Park (1997),89,462,0.0724013813901454,0.797880353583246,False
The Texas Chainsaw Massacre (1974),50,260,0.08538461538461539,0.8924955372815923,False
Taxi Driver (1976),42,187,0.09027247262541371,0.9140256789141821,False
Back to the Future (1985),97,542,0.06212196142579984,0.8858853842587214,False
13 Going on 30 (2004),87,559,0.11884934098246047,0.21807828706486948,False
Sorority Boys (2002),13,65,0.15384615384615385,0.9412982810856995,False
The Bridges of Madison County (1995),22,68,0.13235294117647056,0.8855144490196627,False
Billy Madison (1995),43,224,0.28768687707641194,0.0038723717857285685,True
Chain Reaction (1996),19,59,0.1614629794826048,0.7836382823863632,False
Batman & Robin (1997),56,274,0.10192909280500517,0.676015719443923,False
Jurassic Park III (2001),78,440,0.045396270396270366,0.9980552831233102,False
Platoon (1986),19,93,0.19977362761743067,0.48066766815526946,False
Signs (2002),29,152,0.0984573502722323,0.9499932119166264,False
Terms of Endearment (1983),24,96,0.19791666666666663,0.41057339192442227,False
Mission: Impossible II (2000),83,376,0.09250833119712898,0.5687928314027921,False
