movie,n_social,n_alone,statistic,p_value,significant,social_mean,alone_mean
The Life of David Gale (2003),35,37,753.0,0.11648554393434662,False,2.342857142857143,1.9864864864864864
Wing Commander (1999),37,31,700.0,0.05770348180438174,False,2.2567567567567566,1.8064516129032258
Django Unchained (2012),176,263,24673.0,0.11362303368894638,False,3.2017045454545454,3.1216730038022815
Alien (1979),115,166,8945.5,0.8182041202024259,False,2.643478260869565,2.7560240963855422
Indiana Jones and the Last Crusade (1989),194,254,25964.5,0.16013477380291835,False,2.8221649484536084,2.7755905511811023
Snatch (2000),56,67,1699.5,0.8186774964007998,False,2.607142857142857,2.656716417910448
Rambo: First Blood Part II (1985),78,96,4016.0,0.20311254276825597,False,2.3974358974358974,2.3020833333333335
Fargo (1996),102,142,7109.0,0.5986374766488789,False,2.926470588235294,2.880281690140845
Let the Right One In (2008),56,74,1872.0,0.8299225234389576,False,2.4464285714285716,2.560810810810811
Black Swan (2010),238,333,38481.5,0.7258475816225871,False,2.899159663865546,2.933933933933934
King Kong (1976),186,208,18574.5,0.7548060206869691,False,2.4596774193548385,2.485576923076923
The Machinist (2004),55,84,1990.0,0.9191282555059893,False,2.3727272727272726,2.6785714285714284
A Nightmare on Elm Street (1984),166,222,19873.5,0.09063755560065045,False,2.5210843373493974,2.385135135135135
Brazil (1985),39,48,848.5,0.7762484578511067,False,2.3076923076923075,2.4375
The Fast and the Furious (2001),239,319,41057.5,0.05741683720593635,False,2.707112970711297,2.5658307210031346
Change of Habit (1969),34,38,770.0,0.0796618602668705,False,2.2794117647058822,1.894736842105263
American Beauty (1999),151,223,15000.5,0.9660218719585314,False,2.877483443708609,3.024663677130045
Psycho (1960),133,214,12038.0,0.9930567993847418,False,2.7406015037593985,3.0514018691588785
Terminator 3: Rise of the Machines (2003),167,190,16203.0,0.3630446528697923,False,2.320359281437126,2.292105263157895
Night of the Living Dead (1968),85,97,4148.0,0.47162081765504305,False,2.4705882352941178,2.484536082474227
Man on Fire (2004),62,71,2177.0,0.5444589168343748,False,2.556451612903226,2.5774647887323945
Star Wars: Episode IV - A New Hope (1977),234,297,34164.0,0.6332597684914185,False,2.950854700854701,2.9797979797979797
The Silence of the Lambs (1991),203,291,24344.5,0.9997235176491823,False,3.0566502463054186,3.3195876288659796
The Others (2001),55,89,2234.5,0.8129959537651097,False,2.481818181818182,2.6123595505617976
Minority Report (2002),81,114,4456.5,0.6625620237151328,False,2.574074074074074,2.6403508771929824
Sling Blade (1996),35,46,668.0,0.9069761430533043,False,2.2142857142857144,2.489130434782609
Schindler's List (1993),183,268,24302.0,0.5668876794255986,False,3.2923497267759565,3.281716417910448
3000 Miles to Graceland (2001),35,37,768.0,0.08569072722212884,False,2.1,1.7162162162162162
Magnolia (1999),61,72,2010.0,0.8026803292367475,False,2.5245901639344264,2.625
The Karate Kid Part II (1986),163,187,16283.5,0.13205468241972806,False,2.6104294478527605,2.5106951871657754
Planet of the Apes (2001),198,269,29197.5,0.036090956381045924,False,2.563131313131313,2.369888475836431
The Godfather: Part II (1974),135,190,13046.5,0.39310339528575183,False,3.0481481481481483,3.1026315789473684
Indiana Jones and the Temple of Doom (1984),192,270,26788.0,0.26643295512288256,False,2.7760416666666665,2.7092592592592593
Indiana Jones and the Raiders of the Lost Ark (1981),140,191,12575.5,0.8269329810327636,False,2.9214285714285713,3.005235602094241
The Iron Giant (1999),160,185,15338.5,0.27547113425380676,False,3.075,3.0648648648648646
The Matrix Revolutions (2003),153,206,16967.5,0.10431828583656338,False,2.761437908496732,2.633495145631068
North (1994),39,35,942.0,0.0023478426780768544,True,2.3333333333333335,1.5
The Lost World: Jurassic Park (1997),233,318,38686.0,0.18327592832389983,False,2.8948497854077253,2.85062893081761
The Texas Chainsaw Massacre (1974),127,181,11024.0,0.7309322155092414,False,2.220472440944882,2.292817679558011
Taxi Driver (1976),86,141,5340.5,0.9370438032970727,False,2.796511627906977,2.9397163120567376
Back to the Future (1985),279,361,52524.0,0.17067140326075275,False,3.0304659498207887,2.973684210526316
13 Going on 30 (2004),275,371,52475.0,0.26313226855165783,False,2.929090909090909,2.8692722371967654
Sorority Boys (2002),37,40,843.5,0.14466407740479603,False,2.2027027027027026,1.9125
The Bridges of Madison County (1995),44,46,1199.0,0.06447837035276435,False,2.477272727272727,2.0869565217391304
Billy Madison (1995),106,162,9225.5,0.1491007800135135,False,2.608490566037736,2.435185185185185
Chain Reaction (1996),37,41,734.5,0.5977153141409076,False,2.189189189189189,2.231707317073171
Batman & Robin (1997),148,183,14858.0,0.0625097000162903,False,2.439189189189189,2.26775956284153
Jurassic Park III (2001),222,296,33484.5,0.35281363407068383,False,2.6734234234234235,2.6554054054054053
Platoon (1986),47,64,1466.5,0.590548733695185,False,2.4468085106382977,2.4921875
Signs (2002),73,108,4166.5,0.2568110687310403,False,2.3424657534246576,2.2037037037037037
Terms of Endearment (1983),56,63,1903.5,0.22602300595379182,False,2.5892857142857144,2.4761904761904763
Mission: Impossible II (2000),193,266,25878.5,0.439909931387421,False,2.5673575129533677,2.56390977443609
Lost in Translation (2003),98,153,7069.5,0.7803142037174986,False,2.6581632653061225,2.787581699346405
Star Trek: The Motion Picture (1979),115,140,9039.0,0.04439575703188443,False,2.5434782608695654,2.2785714285714285
Inglorious Bastards (2009),168,257,18197.0,0.9975073145215274,False,2.931547619047619,3.1536964980544746
Clueless (1995),269,362,50438.5,0.21446246412634223,False,3.092936802973978,3.026243093922652
The Omen (1976),72,103,3909.0,0.2696363614760763,False,2.4722222222222223,2.383495145631068
Shrek 2 (2004),410,535,124562.0,0.00013980837551227403,True,2.9475609756097563,2.7317757009345796
Good Will Hunting (1997),201,299,30779.0,0.31350061783170624,False,3.3606965174129355,3.367892976588629
Just Like Heaven (2005),64,84,3067.0,0.06941936260806011,False,2.578125,2.3511904761904763
Showgirls (1995),46,66,1719.5,0.11514321576780634,False,2.2717391304347827,1.9772727272727273
Diamonds are Forever (1971),60,62,1845.0,0.5321146068254873,False,2.6083333333333334,2.5483870967741935
Crossroads (2002),66,55,2091.0,0.07409279176670643,False,2.4166666666666665,2.090909090909091
Pieces of April (2003),34,37,795.5,0.026663290861065503,False,2.4558823529411766,1.9189189189189189
Torque (2004),39,36,795.5,0.1599157720150014,False,2.2564102564102564,1.9583333333333333
Poltergeist (1982),96,135,6815.5,0.24924695871737412,False,2.5052083333333335,2.462962962962963
Fear and Loathing in Las Vegas (1998),44,70,1473.0,0.6543027328016527,False,2.5454545454545454,2.557142857142857
Barbarella (1968),45,42,949.0,0.48804552894806047,False,2.188888888888889,2.142857142857143
The King of Marvin Gardens (1972),33,31,620.5,0.07012702088364675,False,2.3181818181818183,1.8548387096774193
The Poseidon Adventure (1972),50,48,1383.0,0.09543013181034493,False,2.26,1.9375
The Rock (1996),51,71,1934.0,0.2592703344569989,False,2.6470588235294117,2.5492957746478875
Love Story (1970),50,58,1526.5,0.31789909966010255,False,2.57,2.4310344827586206
The Last Samurai (2003),119,151,9458.5,0.22598262210679287,False,2.634453781512605,2.5397350993377485
The Jungle Book (1967),279,393,56455.5,0.2508548035221289,False,3.078853046594982,3.035623409669211
The Exorcist (1973),171,244,20514.0,0.6150829876030381,False,2.412280701754386,2.4610655737704916
Pirates of the Caribbean: Dead Man's Chest (2006),347,450,84273.0,0.025481528412895776,False,2.887608069164265,2.7488888888888887
Gone in Sixty Seconds (2000),56,62,1800.0,0.3645782114857302,False,2.330357142857143,2.2096774193548385
Funny Girl (1968),70,66,2302.5,0.5140864688809766,False,2.7785714285714285,2.696969696969697
Honey (2003),77,108,4084.5,0.5823787704736473,False,2.4285714285714284,2.4537037037037037
Blues Brothers 2000 (1998),60,79,2416.5,0.4214667552897263,False,2.408333333333333,2.2911392405063293
Avatar (2009),379,508,99942.5,0.16136007506852684,False,2.87598944591029,2.7883858267716537
The Pianist (2002),121,173,9777.5,0.8384116644326383,False,3.06198347107438,3.1502890173410405
